Name,Join name to ingredient,ID,Default_unit,Alternative name,Portions,Stocks,Join to units,Shopping portion1,Shopping portion2,Shopping portion3,Shopping portion4 (Manual entry),Shopping link
Greek yogurt,Greek yogurt,49,,,153,,gram,170,450,500,,https://www.ocado.com/search?entry=greek%20yogurt
Chocolate milk,Chocolate milk,31,,,64,,millilitre,330,750,1000,,https://www.ocado.com/search?entry=chocolate%20milk
Apple cider vingear,Apple cider vingear,132,,,229,,millilitre,350,500,1000,,https://www.ocado.com/search?entry=apple%20cider%20vinegar
Vanilla extract,Vanilla extract,104,,,204,,millilitre,35,38,95,,https://www.ocado.com/search?entry=Vanilla
Hot sauce,Hot sauce,57,,,51,,millilitre,150,220,250,,https://www.ocado.com/search?entry=hot%20sauce
Camelina Oil,Camelina Oil,19,,olive oil,167,,millilitre,250,500,1000,,https://airtable.com/tblaaBfaytHBG9rOR/viwedf0JFRDUKpie2?blocks=hide
Dry sherry,Dry sherry,37,,,184,,millilitre,750,,,,https://www.ocado.com/search?entry=eggs
Heavy whipping cream,Heavy whipping cream,56,,Double cream,207,,millilitre,227,300,,,https://www.ocado.com/search?entry=whipping%20cream
Water,Water,115,,,79,,millilitre,500,1500,2000,,https://www.ocado.com/search?entry=water
Beef broth,Beef broth,12,,,185,,millilitre,300,400,500,,https://www.ocado.com/search?entry=beef%20broth
Lemon juice,Lemon juice,60,,,"44,156,193",,millilitre,200,230,250,,https://www.ocado.com/search?entry=lemon%20juice
Heavy cream,Heavy cream,55,,Double cream,67,,millilitre,227,300,,,https://www.ocado.com/search?entry=heavy%20cream
Oyster sauce,Oyster sauce,122,,,171,,millilitre,150,240,510,,https://www.ocado.com/search?entry=oyster%20sauce
Japanese Goma Dressing,Japanese Goma Dressing,58,,Goma sauce,106,,millilitre,150,1000,,,https://www.sushisushi.co.uk/products/mccormick-sesame-goma-dressing-150ml?utm_medium=cpc&utm_source=google&utm_campaign=Google%20Shopping&gclid=CjwKCAjwm4rqBRBUEiwAwaWjjPXb-TM-sQh8dZoMGKpxCmXaB60e7DkEGuaWgvyyRPiHmoC1gxX_0RoCuicQAvD_BwE
Sour cream,Sour cream,94,,,"61,155,188",,millilitre,150,200,300,,https://www.ocado.com/search?entry=sour%20cream
Japanese Wafu Dressing,Japanese Wafu Dressing,59,,Wadu Dressing,107,,millilitre,150,,,,https://starrymart.co.uk/mccormick-wafu-yuzu-dressing-150ml.html?ff=2&fp=2114&gclid=CjwKCAjwm4rqBRBUEiwAwaWjjH2R8G9Aoos6CFNv7w-KzPabIMYzUB_TYfPJYYbGZIdhc782Q4aHShoCFFoQAvD_BwE
Worcestershire sauce,Worcestershire sauce,110,,,"12,52",,millilitre,150,290,,,https://www.ocado.com/search?entry=Worcestershire%20sauce
Olive oil,Olive oil,68,tablespoon,,"1,20,31,43,94,113,123,130,194,215",,millilitre,250,500,750,,https://www.ocado.com/search?entry=Olive%20oil
Vegetable oil,Vegetable oil,105,,,140,,millilitre,250,1000,2000,,https://airtable.com/tblLsvKFNKQM00gMb/viwBSCa6o3alA6dZA?blocks=hide
Mayonnaise,Mayonnaise,64,,,154,,millilitre,250,420,600,,https://www.ocado.com/search?entry=Mayonnaise
Red wine vinegar,Red wine vinegar,86,,,"32,122,131",,millilitre,250,350,500,,https://www.ocado.com/search?entry=red%20wine%20vinegar
Milk,Milk,65,,,"48,187",,millilitre,568,1000,2000,,https://www.ocado.com/search?entry=milk
White wine vinegar,White wine vinegar,108,,,"157,216",,millilitre,250,350,500,,https://www.ocado.com/search?entry=White%20wine%20vinegar
White wine,White wine,107,,,"29,214",,millilitre,750,,,,https://www.ocado.com/search?entry=white%20wine
Canola oil,Canola oil,20,,vegetable oil,138,,millilitre,250,1000,2000,,https://airtable.com/tblLsvKFNKQM00gMb/viwBSCa6o3alA6dZA?blocks=hide
Red wine,Red wine,85,,,90,,millilitre,750,,,,https://www.ocado.com/search?entry=red%20wine
Apple,Apple,3,,,205,2,pieces,4,6,7,,https://www.ocado.com/search?entry=apples
Lime,Lime,62,,,"117,217",,pieces,2,3,4,,https://www.ocado.com/search?entry=lime
