Name,Id,Default_unit,Alternative name,Portions,Stocks,shopping list info,Pasted field 1,Pasted field 2,Pasted field 3,Pasted field 4,Pasted field 5,Default ingredient units
Sea salt,123,,Salt,"191,21",,gr,60,100,250,,https://www.ocado.com/search?entry=salt,Sea salt
Seasoning salt,92,,Salt,178,,gr,60,100,250,,https://www.ocado.com/search?entry=salt,Seasoning salt
Shallots,93,,,195,,gr,400,500,1000,,https://www.ocado.com/search?entry=shallots,Shallots
Smokey paprika,94,,Paprika,"145,75",,gr,35,40,75,,https://www.ocado.com/search?entry=Paprika,Smokey paprika
Sour cream,95,,,"188,155,61",,ml,150,200,300,,https://www.ocado.com/search?entry=sour%20cream,Sour cream
Spaghetti,96,,,22,,gr,400,500,,,https://www.ocado.com/search?entry=spaghetti,Spaghetti
Spinach,97,,,23,,gr,125,200,400,,https://www.ocado.com/search?entry=spinach,Spinach
Strawberries,98,,,206,,gr,300,400,500,,https://www.ocado.com/search?entry=strawberries,Strawberries
Sugar,99,,,"99,58",,gr,100,500,1000,,https://www.ocado.com/search?entry=sugar,Sugar
Thyme,100,,Dried thyme,,,gr,10,11,16,,https://www.ocado.com/search?entry=Dried%20thyme,Thyme
Tomato,101,,,"164,109,103,101,35,24,3,238",,gr,200,300,400,,https://www.ocado.com/search?entry=tomato,Tomato
Tomato paste,102,,,102,,gr,100,140,200,,https://www.ocado.com/search?entry=Tomato%20paste,Tomato paste
Tomato Puree,136,,,"237,246",,,,,,,,Tomato Puree
Unsalted butter,103,,Butter,95,,gr,200,250,500,,https://www.ocado.com/search?entry=unsalted%20butter,Unsalted butter
Vanilla,104,,,60,,gr,7,14,,,https://www.ocado.com/search?entry=Vanilla,Vanilla
Vanilla extract,105,,,204,,ml,35,38,95,,https://www.ocado.com/search?entry=Vanilla,Vanilla extract
Vegetable oil,106,,,140,,ml,250,1000,2000,,https://airtable.com/tblLsvKFNKQM00gMb/viwBSCa6o3alA6dZA?blocks=hide,Vegetable oil
Walnuts,115,,,25,,gr,125,200,400,,https://www.ocado.com/search?entry=walnut,Walnuts
Water,118,,,79,,ml,500,1500,2000,,https://www.ocado.com/search?entry=water,Water
White Pepper,107,,,160,,gr,34,42,50,,https://www.ocado.com/search?entry=white%20pepper,White Pepper
White wine,108,,,"214,29",,ml,750,,,,https://www.ocado.com/search?entry=white%20wine,White wine
White wine vinegar,109,,,"216,157",,ml,250,350,500,,https://www.ocado.com/search?entry=White%20wine%20vinegar,White wine vinegar
Wholegrain Mustard,110,,Mustard,166,,gr,140,170,210,,https://www.ocado.com/search?entry=Wholegrain%20Mustard,Wholegrain Mustard
Worcestershire sauce,111,,,"52,12",,ml,150,290,,,https://www.ocado.com/search?entry=Worcestershire%20sauce,Worcestershire sauce
Yellow onion,133,,Onion,92,,pcs,2,3,4,,https://www.ocado.com/search?entry=onion,Yellow onion
